DormName,OnePR,TwoPR,ThreePR,FourPR,NumOccupants
Archer House,20,42,0,0,62
Baker Hall East,72,113,17,0,202
Baker Hall West,79,125,24,2,230
Barrett House,0,15,11,28,54
Blackburn House,13,210,0,56,279
Bowen House,9,160,0,0,169
Bradley Hall,11,93,11,8,123
Busch House,11,226,0,0,237
Canfield Hall,3,105,3,8,119
Drackett Tower,0,0,2,202,204
Fechko House,0,6,1,0,7
German House,4,2,0,0,6
Halloran House,0,18,6,27,51
Hanley House,3,4,1,0,8
Haverfield House,0,22,9,19,50
Houck House,0,0,0,56,56
Houston House,12,227,0,0,239
Jones Tower,447,22,0,0,469
Lawrence Tower,27,172,32,1,232
Lincoln Tower,7,0,0,170,177
Mack Hall,34,100,9,4,147
Mendoza House,0,51,0,0,51
Morrill Tower,18,261,0,190,469
Morrison Tower,0,194,26,0,220
Neil Avenue,0,121,2,32,155
Norton House,0,16,10,28,54
Nosker House,6,99,0,40,145
Park-Stradley Hall,18,516,0,0,534
Paterson Hall,19,84,6,7,116
Pennsylvania Place,0,15,0,0,15
Pomerene House,2,6,1,0,9
Raney House,11,180,36,0,227
Scholars East,0,24,0,0,24
Scholars West,0,24,0,0,24
Scott House,9,185,0,0,194
Siebert Hall,17,144,0,0,161
Smith-Steeb Hall,21,510,0,0,531
Taylor Tower,0,94,24,94,212
The Residence on Tenth,0,255,0,0,255
Torres House,14,252,0,0,266
Worthington Building,0,0,0,64,64
